,name,diameter,velocity,distance
0,(2000 TU28),366.4713084395,15.3356012156,41541586.74595938
1,(2003 HM),259.4418179074,21.9748310242,65188931.40151106
2,(2006 FK),326.6178974458,10.1083679975,34112182.46724523
3,(2009 CC3),895.4471917267,9.5440172595,13949362.684353823
4,(2009 HX51),363.1114792885,7.8830053039,72235507.8344334
5,(2013 VO5),317.7166529762,15.9215707178,69335707.53940481
6,(2015 HF170),110.1640715893,6.1807300336,24526615.546182703
7,(2016 WW7),25.9441817907,8.1567926751,46653721.63403052
8,(2017 SP12),457.1302685904,15.046983298,29915835.93818316
9,(2019 UY13),120.792502496,21.415809418,27279003.476413693
10,(2020 TJ3),71.4562101727,5.5741387736,17638288.317841183
11,(2021 HA2),22.7007381285,17.7076436937,35437681.020330645
12,(2021 VL22),33.5768521834,7.8919661485,51177894.496965304
13,(2021 XZ),13.5531416942,9.5191277147,50763849.64476656
14,613398 (2006 FK),334.2258056097,10.1083684328,34112179.44536825
15,(2022 HB1),20.6081961232,14.1376958383,200664.89809894
16,(2022 HJ2),39.8143819809,6.5062077321,6022231.855955219
17,(2022 UF3),103.2856480504,5.6455411329,31562116.201603852
18,(2002 TA60),430.566244241,23.3398600008,67052314.67618203
19,(2012 EC),131.8378095647,14.8583439065,59451450.863217995
20,(2015 YU7),316.2568775553,9.0697331985,55420576.228618845
21,(2016 FF1),103.2856480504,15.7883457679,71316813.88087468
22,(2016 JQ5),14.2573883328,15.5223300788,28259433.09000956
23,(2017 VW1),457.1302685904,12.816395443,43146533.38717524
24,(2020 UY),9.4197630572,21.2005041202,72338481.4637973
25,(2021 TC4),29.2442157171,5.6836446742,16561933.453325411
26,(2021 VP5),81.290534434,12.6818201431,27248300.338690206
27,(2022 AP1),12.4749834683,7.3454502465,62687748.184664495
28,(2022 FG),279.2800919383,12.9122968242,53736933.67276885
29,(2022 FP4),123.038202784,16.0070630296,11798188.00898592
30,(2022 GE3),142.5738833281,7.5724865341,38151306.16775276
31,(2022 HD),21.4802820076,7.425063599,1417645.440522315
32,(2022 HA1),68.2401509401,8.8215101458,6511732.796677298
33,(2022 HH1),17.866520367,5.163303268,2759417.653820586
34,162567 (2000 RW37),602.6150569674,5.8187754085,69299376.51485214
35,399308 (1993 GD),438.5710683707,9.9464947844,54908786.65636611
